CountryA,CountryB,meanScoreA,meanScoreB
Mexico,Japan,2.0,2.0
Mexico,Korea Republic,1.5,0.83
Mexico,Saudi Arabia,2.8,0.4
Mexico,Belgium,1.0,2.0
Mexico,Croatia,1.2,1.6
Mexico,Denmark,1.0,2.0
Mexico,England,1.0,2.0
Mexico,France,1.0,2.0
Mexico,Germany,1.2,2.2
Mexico,Iceland,3.0,2.0
Mexico,Poland,0.75,0.5
Mexico,Portugal,1.0,1.75
Mexico,Russia,2.0,2.0
Mexico,Serbia,2.0,2.0
Mexico,Spain,0.67,1.0
Mexico,Sweden,2.0,2.0
Mexico,Switzerland,1.0,2.0
Mexico,Costa Rica,1.52,0.62
Mexico,Panama,1.62,0.56
Mexico,Argentina,0.88,1.56
Mexico,Brazil,1.0,1.6
Mexico,Colombia,0.75,0.9
Mexico,Peru,1.4,1.0
Mexico,Uruguay,1.38,1.15
Panama,Egypt,2.0,3.0
Panama,Morocco,2.0,3.0
Panama,Nigeria,2.0,3.0
Panama,Senegal,1.0,3.0
Panama,Tunisia,3.0,3.0
Panama,Australia,2.0,3.0
Panama,Iran,3.0,3.0
Panama,Japan,2.0,3.0
Panama,Korea Republic,2.0,3.0
Panama,Saudi Arabia,2.0,3.0
Panama,Belgium,1.0,3.0
Panama,Croatia,1.0,3.0
Panama,Denmark,1.0,3.0
Panama,England,1.0,3.0
Panama,France,1.0,3.0
Panama,Germany,1.0,3.0
Panama,Iceland,3.0,3.0
Panama,Poland,1.0,3.0
Panama,Portugal,1.0,3.0
Panama,Russia,2.0,3.0
Panama,Serbia,2.0,3.0
Panama,Spain,1.0,3.0
Panama,Sweden,2.0,3.0
Panama,Switzerland,1.0,3.0
Panama,Costa Rica,0.89,1.64
Panama,Mexico,0.56,1.62
Panama,Argentina,1.0,3.0
Panama,Brazil,1.0,3.0
Panama,Colombia,1.33,2.0
Panama,Peru,1.0,1.0
Panama,Uruguay,1.0,3.0
Argentina,Egypt,2.0,1.0
Argentina,Morocco,2.0,0.5
Argentina,Nigeria,1.62,1.5
Argentina,Senegal,1.0,1.0
Argentina,Tunisia,3.0,1.0
Argentina,Australia,1.83,0.5
Argentina,Iran,3.0,1.0
Argentina,Japan,2.33,0.67
Argentina,Korea Republic,2.5,0.5
Argentina,Saudi Arabia,1.5,0.5
Argentina,Belgium,1.0,1.0
Argentina,Croatia,1.25,1.0
Argentina,Denmark,0.5,1.5
Argentina,England,1.2,1.6
Argentina,France,1.0,1.0
Argentina,Germany,1.45,1.36
Argentina,Iceland,3.0,1.0
Argentina,Poland,1.5,1.0
Argentina,Portugal,1.0,1.0
Argentina,Russia,1.75,0.75
Argentina,Serbia,2.0,1.0
Argentina,Spain,1.8,1.4
Argentina,Sweden,2.0,1.0
Argentina,Switzerland,1.5,0.75
Argentina,Costa Rica,2.0,0.67
Argentina,Mexico,1.56,0.88
Argentina,Panama,3.0,1.0
Argentina,Brazil,1.27,1.73
Argentina,Colombia,1.24,0.92
Argentina,Peru,1.74,0.63
Argentina,Uruguay,1.56,0.89
Brazil,Egypt,2.0,1.0
Brazil,Morocco,2.0,1.0
Brazil,Nigeria,2.0,1.0
Brazil,Senegal,1.0,1.0
Brazil,Tunisia,3.0,1.0
Brazil,Australia,3.0,0.17
Brazil,Iran,3.0,1.0
Brazil,Japan,3.0,0.45
Brazil,Korea Republic,2.0,1.0
Brazil,Saudi Arabia,4.0,0.67
Brazil,Belgium,1.0,1.0
Brazil,Croatia,1.67,0.67
Brazil,Denmark,3.0,1.5
Brazil,England,1.17,0.92
Brazil,France,1.11,1.0
Brazil,Germany,2.2,2.0
Brazil,Iceland,3.0,1.0
Brazil,Poland,1.0,1.0
Brazil,Portugal,1.83,1.33
Brazil,Russia,2.2,0.8
Brazil,Serbia,2.0,1.0
Brazil,Spain,1.0,1.0
Brazil,Sweden,1.5,0.33
Brazil,Switzerland,1.0,1.0
Brazil,Costa Rica,3.0,0.71
Brazil,Mexico,1.6,1.0
Brazil,Panama,3.0,1.0
Brazil,Argentina,1.73,1.27
Brazil,Colombia,1.22,0.5
Brazil,Peru,1.67,0.42
Brazil,Uruguay,1.61,1.06
Colombia,Egypt,2.0,2.0
Colombia,Morocco,2.0,2.0
Colombia,Nigeria,1.0,0.25
Colombia,Senegal,1.0,2.0
Colombia,Tunisia,3.0,2.0
Colombia,Australia,2.0,1.0
Colombia,Iran,3.0,2.0
Colombia,Japan,2.0,2.0
Colombia,Korea Republic,1.0,1.67
Colombia,Saudi Arabia,2.0,2.0
Colombia,Belgium,1.0,2.0
Colombia,Croatia,1.0,2.0
Colombia,Denmark,1.0,2.0
Colombia,England,0.67,1.67
Colombia,France,1.0,2.0
Colombia,Germany,1.25,2.5
Colombia,Iceland,3.0,2.0
Colombia,Poland,2.0,1.0
Colombia,Portugal,1.0,2.0
Colombia,Russia,2.0,2.0
Colombia,Serbia,2.0,2.0
Colombia,Spain,1.0,2.0
Colombia,Sweden,1.0,1.0
Colombia,Switzerland,2.33,1.33
Colombia,Costa Rica,2.12,0.75
Colombia,Mexico,0.9,0.75
Colombia,Panama,2.0,1.33
Colombia,Argentina,0.92,1.24
Colombia,Brazil,0.5,1.22
Colombia,Peru,1.46,0.73
Colombia,Uruguay,1.45,1.25
Peru,Egypt,2.0,3.0
Peru,Morocco,2.0,3.0
Peru,Nigeria,2.0,3.0
Peru,Senegal,1.0,3.0
Peru,Tunisia,3.0,3.0
Peru,Australia,2.0,3.0
Peru,Iran,3.0,3.0
Peru,Japan,0.8,0.8
Peru,Korea Republic,2.0,3.0
Peru,Saudi Arabia,2.0,3.0
Peru,Belgium,1.0,3.0
Peru,Croatia,1.0,3.0
Peru,Denmark,1.0,3.0
Peru,England,1.0,3.0
Peru,France,1.0,3.0
Peru,Germany,1.0,3.0
Peru,Iceland,3.0,3.0
Peru,Poland,1.0,3.0
Peru,Portugal,1.0,3.0
Peru,Russia,2.0,3.0
Peru,Serbia,2.0,3.0
Peru,Spain,1.0,3.0
Peru,Sweden,2.0,3.0
Peru,Switzerland,1.0,3.0
Peru,Costa Rica,2.0,0.4
Peru,Mexico,1.0,1.4
Peru,Panama,1.0,1.0
Peru,Argentina,0.63,1.74
Peru,Brazil,0.42,1.67
Peru,Colombia,0.73,1.46
Peru,Uruguay,0.88,1.46
Uruguay,Egypt,2.0,1.0
Uruguay,Morocco,2.0,1.0
Uruguay,Nigeria,2.0,1.0
Uruguay,Senegal,1.0,1.0
Uruguay,Tunisia,3.0,1.0
Uruguay,Australia,1.14,0.57
Uruguay,Iran,3.0,1.0
Uruguay,Japan,2.0,1.0
Uruguay,Korea Republic,1.67,0.33
Uruguay,Saudi Arabia,2.0,1.0
Uruguay,Belgium,1.0,1.0
Uruguay,Croatia,1.0,1.0
Uruguay,Denmark,1.0,1.0
Uruguay,England,1.25,1.0
Uruguay,France,0.2,0.0
Uruguay,Germany,1.4,3.4
Uruguay,Iceland,3.0,1.0
Uruguay,Poland,1.0,0.67
Uruguay,Portugal,1.0,1.0
Uruguay,Russia,2.0,1.0
Uruguay,Serbia,2.0,1.0
Uruguay,Spain,0.83,1.83
Uruguay,Sweden,2.0,1.0
Uruguay,Switzerland,1.0,1.0
Uruguay,Costa Rica,2.0,1.56
Uruguay,Mexico,1.15,1.38
Uruguay,Panama,3.0,1.0
Uruguay,Argentina,0.89,1.56
Uruguay,Brazil,1.06,1.61
Uruguay,Colombia,1.25,1.45
Uruguay,Peru,1.46,0.88
